activityTags,actors,business,categoryid,categoryname,cityid,cityname,couponTags,description,id,imgurl,isAtmospheric,iseticket,isgeneralagent,issuperticket,isxuanzuo,name,nameNoHtml,price,price_str,pricehigh,privilegeTags,projectid,promotionTags,showstatus,showtag,showtime,sitestatus,subcategoryid,subcategoryname,subhead,venue,venuecity,venueid,verticalPic
[],艺人：张信哲,0,1,演唱会,1882,烟台,[],艺人：张信哲,1_1_784778978869,-742144804,False,0,1,0,0,2024张信哲 未来式终极版世界巡回演唱会-烟台站,2024张信哲 未来式终极版世界巡回演唱会-烟台站,380.0,380-2180,2180.0,[],784778978869,[],售票中,,2024.06.01 周六 19:30,3,13,其他,,烟台体育公园体育场,烟台,454,https://img.alicdn.com/bao/uploaded/i2/2251059038/O1CN01AYSV8y2GdSb5Vf0PS_!!0-item_pic.jpg
[],艺人：黄绮珊、朴树、黄子弘凡、张远、苏醒、刺猬乐队、海龟先生、陆虎、唐九洲、张颜齐、后海大鲨鱼、落日飞车、张星特、夏瀚宇、苏勋伦、声音碎片、赵照、惘闻乐队、VH (Vast & Hazy),0,1,演唱会,1052,无锡,[],艺人：黄绮珊、朴树、黄子弘凡、张远、苏醒、刺猬乐队、海龟先生、陆虎、唐九洲、张颜齐、后海大鲨鱼、落日飞车、张星特、夏瀚宇、苏勋伦、声音碎片、赵照、惘闻乐队、VH (Vast & Hazy),1_1_785200592885,-737928664,False,0,1,0,0,2024阳羡山湖音乐节,2024阳羡山湖音乐节,99.0,99-468,468.0,[],785200592885,[],售票中,,2024.06.01-06.02,3,12,音乐节,,宜兴阳羡生态旅游度假区·隐龙谷,无锡,6259002,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i4/2251059038/O1CN01haO8o22GdSbCZC9zr_!!2251059038.jpg
[],艺人：张信哲,0,1,演唱会,1063,徐州,[],艺人：张信哲,1_1_783054719227,-759387400,False,0,1,0,0,2024张信哲 未来式终极版世界巡回演唱会-徐州站,2024张信哲 未来式终极版世界巡回演唱会-徐州站,388.0,388-1388,1388.0,[],783054719227,[],售票中,,2024.05.25 周六 19:30,3,13,其他,,徐州奥体中心体育场,徐州,57327,https://img.alicdn.com/bao/uploaded/i4/2251059038/O1CN01bNzA012GdSaxOe9wz_!!0-item_pic.jpg
[],,0,1,演唱会,852,北京,[],,1_1_792987273936,-660061853,False,0,1,0,0,大麓·降噪室内音乐会,大麓·降噪室内音乐会,188.0,188-588,588.0,[],792987273936,[],售票中,,2024.05.24-05.26,3,12,音乐节,,北京展览馆剧场,北京,26,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i4/2251059038/O1CN0115fp582GdSb5Ui05A_!!2251059038.jpg
[],艺人：黄绮珊,0,1,演唱会,852,北京,[],艺人：黄绮珊,1_1_787670918818,-713225404,False,0,1,0,0,黄绮珊「晚霞·不晚」2024演唱会-北京站,黄绮珊「晚霞·不晚」2024演唱会-北京站,380.0,380-1180,1180.0,[],787670918818,[],售票中,,2024.06.08 周六 19:30,3,13,其他,,国家体育馆,北京,407,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i2/2251059038/O1CN01uUIhPN2GdSapkqjvv_!!2251059038.jpg
[],艺人：吴克群,0,1,演唱会,1580,杭州,[],艺人：吴克群,1_1_785320499578,-736729597,False,0,1,0,0,吴克群《我们的冒险》巡回演唱会杭州站,吴克群《我们的冒险》巡回演唱会杭州站,480.0,480-1280,1280.0,[],785320499578,[],售票中,,2024.05.17 周五 19:30,3,13,其他,,杭州奥体中心网球中心,杭州,1260007,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i1/2251059038/O1CN01Cb8Qhw2GdSahcnQVK_!!2251059038.jpg
[],艺人：张信哲,0,1,演唱会,9999,国际及港澳台,[],艺人：张信哲,1_1_789508852175,-694846071,False,0,0,0,0,张信哲《未来式∞世界巡回演唱会》迪拜站,张信哲《未来式∞世界巡回演唱会》迪拜站,772.0,772-2772,2772.0,[],789508852175,[],售票中,,2024.06.09 周日 19:30,3,13,其他,,Coca-Cola Arena,Dubai,6709020,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i3/2251059038/O1CN01dlMuYz2GdSavxvc2B_!!2251059038.jpg
[],艺人：八三夭、回春丹乐队、康姆士COM'Z、黑屋乐队、法兹乐队、傻子与白痴、大波浪乐队、犬儒、霓虹花园、旅行团乐队、丢火车乐队、钢心、郁 Die From Sorrow乐队、超级斩、新学校废物合唱团,0,1,演唱会,1643,绍兴,[],艺人：八三夭、回春丹乐队、康姆士COM'Z、黑屋乐队、法兹乐队、傻子与白痴、大波浪乐队、犬儒、霓虹花园、旅行团乐队、丢火车乐队、钢心、郁 Die From Sorrow乐队、超级斩、新学校废物合唱团,1_1_785713423557,-732800357,False,0,1,0,0,2024西施音乐节,2024西施音乐节,158.0,158-388,388.0,[],785713423557,[],售票中,,2024.05.18-05.19,3,12,音乐节,,浙江诸暨·西施故里旅游区 西施滩大草坪,绍兴,6225033,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i4/2251059038/O1CN01L5Exg12GdSalZiEMI_!!2251059038.jpg
[],艺人：金泫雅、LOCO、rain、PH-1、yugyeom、GRAY、82 MAJOR、权恩妃、JESSI、STAYC、TRIPLE S、余景天(Tony)、姚琛、谢帝、派克特、朴宰范,0,1,演唱会,848,中国香港,[],艺人：金泫雅、LOCO、rain、PH-1、yugyeom、GRAY、82 MAJOR、权恩妃、JESSI、STAYC、TRIPLE S、余景天(Tony)、姚琛、谢帝、派克特、朴宰范,1_1_789388594905,-696048643,False,0,0,0,0,WATERBOMB HONG KONG 2024 【正价开售】,WATERBOMB HONG KONG 2024 【正价开售】,1080.0,1080-2980,2980.0,[],789388594905,[],售票中,,2024.06.01-06.02,3,12,音乐节,,AXA x WONDERLAND|安盛x竹翠公园,中国香港,6334006,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i4/2251059038/O1CN01myUcso2GdSaoQwYTw_!!2251059038.png
[],艺人：马思唯,0,1,演唱会,2648,哈尔滨,[],艺人：马思唯,1_1_786453438591,-725400207,False,0,1,0,0,马思唯“黑马季节 Dark Horse Season”巡回演唱会 - 哈尔滨站,马思唯“黑马季节 Dark Horse Season”巡回演唱会 - 哈尔滨站,399.0,399-999,999.0,[],786453438591,[],售票中,,2024.06.01 周六 19:30,3,13,其他,,哈尔滨国际会展体育中心体育馆,哈尔滨,282,https://img.alicdn.com/bao/uploaded/i4/2251059038/O1CN010xGuJa2GdSb9xJgOk_!!0-item_pic.jpg
[],艺人：裘德,0,1,演唱会,893,广州,[],艺人：裘德,1_1_793455299306,-655381599,False,0,1,0,0,裘德2024「境地新生」演唱会-广州站,裘德2024「境地新生」演唱会-广州站,180.0,180-680,680.0,[],793455299306,[],售票中,,2024.06.21 周五 20:00,3,13,其他,,广州中山纪念堂,广州,63,https://img.alicdn.com/bao/uploaded/i1/2251059038/O1CN01AAfBPV2GdSbANTNir_!!0-item_pic.jpg
[],艺人：告五人,0,1,演唱会,372,厦门,[],艺人：告五人,1_1_782818202683,-761752566,False,0,1,0,0,告五人第一次新世界巡回演唱会【宇宙的有趣 AROUND THE NEW WORLD】-厦门站,告五人第一次新世界巡回演唱会【宇宙的有趣 AROUND THE NEW WORLD】-厦门站,380.0,380-980,980.0,[],782818202683,[],售票中,,2024.05.18 周六 19:00,3,13,其他,,厦门奥林匹克体育中心-凤凰体育馆,厦门,6072015,https://img.alicdn.com/bao/uploaded/i2/2251059038/O1CN01xSIolR2GdSbAWEtdw_!!0-item_pic.jpg
[],艺人：重塑雕像的权利,0,1,演唱会,852,北京,[],艺人：重塑雕像的权利,1_1_788095045519,-708984137,False,0,1,0,0,重塑雕像的权利【喝彩之后】2024北京专场演唱会,重塑雕像的权利【喝彩之后】2024北京专场演唱会,380.0,380-980,980.0,[],788095045519,[],售票中,,2024.06.09 周日 19:30,3,13,其他,,华熙LIVE·五棵松,北京,682,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i4/2251059038/O1CN01eVsYrf2GdSalUDYlC_!!2251059038.jpg
[],,0,1,演唱会,872,上海,[],,1_1_786854667374,-721387919,False,0,1,0,1,光明如实 璀璨呈现 2024经典947辰山草地广播音乐节,光明如实 璀璨呈现 2024经典947辰山草地广播音乐节,150.0,150-980,980.0,[],786854667374,[],售票中,,2024.05.25-05.26,3,12,音乐节,,"上海辰山植物园(由2号门入,佘天昆公路,沈砖公路口)",上海,54041,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i1/2251059038/O1CN01wjkwWD2GdSalShqUj_!!2251059038.jpg
[],艺人：陈慧琳,0,1,演唱会,923,佛山,[],艺人：陈慧琳,1_1_786814087680,-721793716,False,0,1,0,0,陈慧琳 SEASON 2 世界巡回演唱会-佛山站,陈慧琳 SEASON 2 世界巡回演唱会-佛山站,480.0,480-1380,1380.0,[],786814087680,[],售票中,,2024.06.15 周六 19:30,3,13,其他,,佛山国际体育文化演艺中心,佛山,1241003,https://img.alicdn.com/bao/uploaded/i1/2251059038/O1CN01clusNJ2GdSbCwQOai_!!0-item_pic.jpg
[],艺人：告五人,0,1,演唱会,3250,西安,[],艺人：告五人,1_1_783382763835,-756106954,False,0,1,0,0,告五人新世界巡回演唱会【宇宙的有趣 AROUND THE NEW WORLD】-西安站,告五人新世界巡回演唱会【宇宙的有趣 AROUND THE NEW WORLD】-西安站,380.0,380-980,980.0,[],783382763835,[],售票中,,2024.05.25 周六 19:30,3,13,其他,,西安奥体中心体育馆,西安,2749002,https://img.alicdn.com/bao/uploaded/i2/2251059038/O1CN01it9uAj2GdSb2q8yWA_!!0-item_pic.jpg
[],艺人：焦迈奇,0,1,演唱会,1580,杭州,[],艺人：焦迈奇,1_1_785540293375,-734531659,False,0,1,0,0,2024焦迈奇“游泳回家”巡回演唱会-杭州站,2024焦迈奇“游泳回家”巡回演唱会-杭州站,380.0,380-680,680.0,[],785540293375,[],售票中,,2024.07.13 周六 19:30,3,13,其他,,黄龙体育中心体育馆,杭州,484,https://img.alicdn.com/bao/uploaded/i3/2251059038/O1CN01ZNu6Ud2GdSb25Cr4g_!!0-item_pic.jpg
[],艺人：Westlife,0,1,演唱会,1038,南京,[],艺人：Westlife,1_1_783111823306,-758816359,False,0,1,0,0,2024 Westlife西城男孩《With Love - 与爱同行》特献巡回演唱会-南京站,2024 Westlife西城男孩《With Love - 与爱同行》特献巡回演唱会-南京站,288.0,288-1818,1818.0,[],783111823306,[],售票中,,2024.05.24 周五 19:30,3,13,其他,,南京奥体中心体育场,南京,603,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i3/2251059038/O1CN01ZECmv22GdSagsT5eX_!!2251059038.jpg
[],艺人：Westlife,0,1,演唱会,923,佛山,[],艺人：Westlife,1_1_784671719766,-743217395,False,0,1,0,0,2024 西城男孩 Westlife 《With Love - 与爱同行》特献巡回演唱会-佛山站,2024 西城男孩 Westlife 《With Love - 与爱同行》特献巡回演唱会-佛山站,280.0,280-2345,2345.0,[],784671719766,[],售票中,,2024.05.25 周六 19:30,3,13,其他,,佛山世纪莲体育中心,佛山,299,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i4/2251059038/O1CN01QsZdPB2GdSajCG5lh_!!2251059038.jpg
[],艺人：棱镜乐队,0,1,演唱会,1377,成都,[],艺人：棱镜乐队,1_1_785071314397,-739221449,False,0,1,0,0,棱镜「多少年·多少面」2024巡回演唱会,棱镜「多少年·多少面」2024巡回演唱会,380.0,380-880,880.0,[],785071314397,[],售票中,,2024.06.22 周六 19:00,3,13,其他,,成都东安湖体育公园多功能体育馆,成都,3183003,https://img.alicdn.com/bao/uploaded/i2/2251059038/O1CN01Ua95ee2GdSaoTFAMP_!!0-item_pic.jpg
[],艺人：吴克群,0,1,演唱会,906,深圳,[],艺人：吴克群,1_1_787733189386,-712602699,False,0,1,0,0,吴克群《我们的冒险》巡回演唱会-深圳站,吴克群《我们的冒险》巡回演唱会-深圳站,480.0,480-1280,1280.0,[],787733189386,[],售票中,,2024.06.01 周六 19:00,3,13,其他,,深圳市宝安体育中心体育馆,深圳,482,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i2/2251059038/O1CN01WwmTVH2GdSavkPVdM_!!2251059038.jpg
[],艺人：蒲熠星、单依纯、郭顶、张远、余景天(Tony)、棱镜乐队、简单对话、九连真人、散人乐队、万能青年旅店、夏日入侵企画、时间不够以后、房东的猫、黄誉博、jam阿敬、康姆士COM'Z、霓虹花园、徐子未、DOUDOU,0,1,演唱会,1637,湖州,[],艺人：蒲熠星、单依纯、郭顶、张远、余景天(Tony)、棱镜乐队、简单对话、九连真人、散人乐队、万能青年旅店、夏日入侵企画、时间不够以后、房东的猫、黄誉博、jam阿敬、康姆士COM'Z、霓虹花园、徐子未、DOUDOU,1_1_781160994484,-778324648,False,0,1,0,0,2024莫干山奇幻音乐节,2024莫干山奇幻音乐节,199.0,199-599,599.0,[],781160994484,[],售票中,,2024.05.25-05.26,3,12,音乐节,,上渚山奇幻谷,湖州,2797004,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i4/2251059038/O1CN01lPjln62GdSasxDt75_!!2251059038.jpg
[],艺人：杨千嬅,0,1,演唱会,1209,天津,[],艺人：杨千嬅,1_1_781506583468,-774868758,False,0,1,0,0,杨千嬅MY TREE OF LIVE巡回演唱会-天津站,杨千嬅MY TREE OF LIVE巡回演唱会-天津站,398.0,398-1298,1298.0,[],781506583468,[],售票中,,2024.06.14-06.15,3,13,其他,,天津奥林匹克中心体育馆,天津,1403,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i3/2251059038/O1CN01Rctmz12GdSaqvJm26_!!2251059038.jpg
[],艺人：金志文,0,1,演唱会,1835,济南,[],艺人：金志文,1_1_790606259039,-683872002,False,0,1,0,0,“远走高飞”2024金志文全国巡回演唱会济南站,“远走高飞”2024金志文全国巡回演唱会济南站,380.0,380-880,880.0,[],790606259039,[],售票中,,2024.05.26 周日 19:30,3,13,其他,,济南奥林匹克体育中心体育馆,济南,53082,https://img.alicdn.com/bao/uploaded/i4/2251059038/O1CN01U7OMyD2GdSb6PWmve_!!0-item_pic.jpg
[],艺人：梁静茹,0,1,演唱会,372,厦门,[],艺人：梁静茹,1_1_782858152029,-761353072,False,0,1,0,0,2024当我们谈论爱情梁静茹世界巡回演唱会-厦门站,2024当我们谈论爱情梁静茹世界巡回演唱会-厦门站,499.0,499-1399,1399.0,[],782858152029,[],售票中,,2024.06.22 周六 19:00,3,13,其他,,厦门奥林匹克体育中心-凤凰体育馆,厦门,6072015,https://img.alicdn.com/bao/uploaded/i4/2251059038/O1CN01VtNB6g2GdSb6M8Dre_!!0-item_pic.jpg
[],艺人：杨千嬅,0,1,演唱会,956,惠州,[],艺人：杨千嬅,1_1_782113788121,-768796711,False,0,1,0,0,杨千嬅MY TREE OF LIVE世界巡回演唱会-惠州站,杨千嬅MY TREE OF LIVE世界巡回演唱会-惠州站,398.0,398-1098,1098.0,[],782113788121,[],售票中,,2024.06.01 周六 19:30,3,13,其他,,惠州奥林匹克体育场,惠州,53457,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i3/2251059038/O1CN012L4OH42GdSaYKBisf_!!2251059038.jpg
